# JD     RV     RV_err 
 2456175.704700  19.126812  0.0077632816 
 2456179.712500  19.166737  0.0087426976 
 2456182.708800  19.021361  0.0089075424 
 2456184.736700  19.090142  0.0085376954 
 2456186.721000  19.038823  0.0085809024 
 2456193.658900  19.173949  0.0081230646 
 2456198.701300  19.312261  0.0088856132 
 2456199.737300  19.174572  0.0086554291 
 2456200.731200  19.101129  0.0081682849 
 2456201.749600  19.201612  0.0086829271 
 2456205.642900  19.239910  0.0087096321 
 2456206.702100  19.263007  0.0084092793 
 2456207.752400  19.274391  0.0091936779 
 2456208.746500  19.228159  0.0083878723 
 2456209.679300  19.224102  0.0082619907 
 2456211.744600  18.677103  0.0077698371 
 2456214.609400  19.195234  0.0074369280 
 2456224.581900  17.791177  0.0057075039 
 2456282.649400  20.262517  0.0107190720 
 2456283.543300  19.979751  0.0106030400 
 2456284.528700  20.184376  0.0104166120 
 2456285.525600  20.124375  0.0100354430 
 2456287.462100  20.097737  0.0106729080 
 2456287.614600  20.102197  0.0104839520 
 2456287.625800  20.126980  0.0105433190 
 2456288.465900  20.054107  0.0103686660 
 2456288.586600  20.112267  0.0107217900 
 2456289.478300  20.072184  0.0111124520 
 2456290.519400  20.089829  0.0106742150 
 2456291.494600  20.075798  0.0105778160 
 2456292.482400  20.039877  0.0114771650 
 2456292.613100  20.056777  0.0106551100 
 2456293.490800  20.050207  0.0111892080 
 2456294.601600  19.946792  0.0109490530 
 2456294.617600  19.931160  0.0107421720 
 2456295.501300  19.994818  0.0112052730 
 2456296.472300  19.858133  0.0114930330 
 2456296.647900  19.867912  0.0117546000 
 2456297.512000  19.866722  0.0118334640 
 2456298.552600  19.830409  0.0119542350 
 2456299.410400  19.697317  0.0117872620 
 2456327.414700  18.278936  0.0075327542 
 2456330.470600  17.784069  0.0098432123 
 2456332.547100  17.692150  0.0107993760 
 2456338.428400  17.351376  0.0100719090 
 2456341.399100  17.140387  0.0107951340 
 2456345.431300  16.963555  0.0107398080 
 2456348.445400  16.781137  0.0099563201 
 2456350.512700  16.434196  0.0113387010 
 2456354.443500  16.202156  0.0113858950 
 2456361.345100  15.940536  0.0096653432 
 2456363.376700  15.993367  0.0081129669 
 2456363.441000  16.077582  0.0104354560 
 2456364.347500  16.075136  0.0078697959 
 2456364.355400  15.988976  0.0085282808 
 2456364.408700  15.944385  0.0086059606 
 2456365.349800  15.808626  0.0097585109 
 2456365.390200  15.808011  0.0085621610 
 2456365.399500  15.812629  0.0082143598 
 2456365.402300  15.803584  0.0087273022 
 2456365.405100  15.905557  0.0098898848 
 2456365.414200  15.844075  0.0105274340 
 2456365.423200  15.868164  0.0097779706 
 2456365.426000  15.847748  0.0100183510 
 2456365.444400  15.865923  0.0094895962 
 2456366.351400  15.697503  0.0102869770 
 2456366.372700  15.697210  0.0098653886 
 2456366.381600  15.701395  0.0098345166 
 2456366.388500  15.722119  0.0097477801 
 2456366.397400  15.752195  0.0098776340 
 2456366.400100  15.723996  0.0100774660 
 2456366.402800  15.775495  0.0099583417 
 2456367.368300  15.621463  0.0096336259 
 2456367.388400  15.602564  0.0095951384 
 2456367.398800  15.639908  0.0100299420 
 2456367.411500  15.718013  0.0133551210 
 2456369.363600  15.608783  0.0091155888 
 2456372.353200  15.713106  0.0090819316 
 2456372.362100  15.693557  0.0102744300 
 2456372.369100  15.693918  0.0096379741 
 2456373.414300  15.675406  0.0083449711 
 2456376.402800  15.708262  0.0090266159 
 2456377.350400  15.779801  0.0090917325 
 2456377.363600  15.820067  0.0084608020 
 2456378.398900  15.682439  0.0088922954 
 2456379.399400  15.481224  0.0095245852 
 2456380.379700  15.900460  0.0095010658 
 2456380.392700  15.896691  0.0096801172 
 2456380.407800  15.856712  0.0097470633 
 2456380.414100  15.794576  0.0093003546 
 2456380.429200  15.754973  0.0098136671 
 2456381.370900  15.696960  0.0092160663 
 2456381.379800  15.792616  0.0104449770 
 2456381.402800  15.727131  0.0098885598 
 2456381.405600  15.826861  0.0086910195 
 2456381.420700  15.748064  0.0100539560 
 2456381.438800  15.585153  0.0104273350 
 2456382.351800  15.755881  0.0101513340 
 2456382.368500  15.711515  0.0092976509 
 2456382.386500  15.763984  0.0094306248 
 2456384.392600  15.973312  0.0096439502 
 2456392.392500  15.984316  0.0109360280 
 2456395.356400  15.997119  0.0088880057 
 2456396.356800  15.979958  0.0106813330 
 2456397.359800  16.037959  0.0096757121 
 2456398.357700  16.068925  0.0093296904 
 2456399.357900  16.024649  0.0110670560 
 2456400.358300  16.155543  0.0107446300 
 2456401.359600  16.170992  0.0097844627 
 2456408.361500  16.425225  0.0094569257 
