JD,RV,RV_err,NP
2442383.8943594694,23.1,0.4,1
2442663.9222600004,20.5,0.4,1
2442723.9282386852,21.9,0.6,1
2442743.9302315805,21.03125,0.6,1
2442763.932224475,21.125,0.6,2
2442793.935213818,20.484375,0.6,1
2442813.9372067126,21.203125,0.6,1
2442833.939199608,21.90625,0.6,1
2443033.9591285586,18.34375,0.6,1
2443083.9641107963,19.03125,0.6,1
2443213.977064614,17.890625,0.6,1
2443423.997990012,17.0,0.6,1
2443464.0019758022,16.171875,0.6,1
2443494.004965145,16.000000000000004,0.6,1
2443574.0129367253,14.203124999999998,0.6,1
2443584.0139331724,17.015625,0.6,1
2443794.0348585704,17.921875,0.6,1
2443824.037847913,17.0,0.6,1
2443854.040837256,17.15625,0.6,1
2444194.074716472,22.125,0.6,1
2444554.110588583,21.9375,0.6,1
2444634.1185601633,20.40625,0.6,1
2445894.244112551,22.81,0.6,1
2445994.2540770266,25.37,0.6,2
2446014.256069922,26.07,0.6,1
2446024.257066369,25.49,0.6,1
2446034.258062817,25.16,0.6,1
2446074.2620486068,25.89,0.6,1
2446084.263045055,21.9,0.6,1
2446114.2660343973,19.7,0.6,1
2446124.2670308445,19.83,0.6,1
2446134.2680272926,19.68,0.6,1
2446164.271016635,20.61,0.6,1
2446334.2879562424,22.17,0.6,1
2446344.2889526905,22.145000000000003,0.6,2
2446394.2939349283,23.81,0.6,1
2446404.2949313754,23.94,0.6,1
2446414.295927823,23.63,0.6,2
2446434.297920718,23.09,0.6,1
2446444.298917166,23.4,0.6,1
2446454.299913613,24.58,0.6,1
2446474.3019065084,23.144999999999996,0.6,4
2446484.3029029556,21.97,0.6,2
2446494.3038994037,20.894,0.6,5
2446504.304895851,20.945,1.1649999999999991,2
2446524.306888746,22.3,0.6,1
2446534.3078851933,20.05,0.6,1
2446544.308881641,21.884999999999998,0.6,2
2446554.3098780885,19.96,0.6,1
2446564.3108745357,21.805,0.6,2
2446724.3268176964,20.83,0.6,1
2446744.3288105913,20.77,0.6,1
2446754.3298070394,21.54,0.6,1
2446764.3308034865,21.49,0.6,1
2446784.332796382,22.265,0.9050000000000011,2
2446804.334789277,23.25,0.6,2
2446814.335785724,22.973333333333333,0.6000000000000001,3
2446824.3367821714,22.770000000000003,0.7279079612148771,4
2447094.363686255,23.98,0.6,1
2447104.3646827023,24.7,0.6,1
2447134.367672045,25.2,0.6,1
2447144.368668493,24.71,0.6,1
2447154.36966494,25.233333333333334,0.6000000000000001,3
2447174.3716578353,24.310000000000002,0.7624084644510879,3
2447184.3726542825,24.38,0.6,1
2447204.3746471778,24.1,0.6,1
2447224.376640073,24.245,0.6,2
2447234.37763652,24.195,0.6,2
2447264.3806258626,21.85,0.6,1
2447384.3925832333,20.25,0.6,1
2447444.398561918,24.48,0.6,2
2447474.401551261,25.46,0.6,1
2447484.4025477087,25.525,0.6,2
2447494.403544156,26.77,0.6,1
2447514.405537051,27.09,0.6,1
2447534.4075299464,26.86,0.6,1
2447544.4085263936,27.12,0.6,2
2447554.409522841,26.3,0.6,1
2447584.412512184,26.69,0.6,1
2447594.4135086313,26.39,0.6,2
2447604.414505079,26.66,0.6,1
2447624.4164979737,25.27,0.6,2
2447774.431444687,24.45,0.6,1
2447784.4324411345,25.0,0.6,1
2447804.4344340293,25.1,0.6,1
2447844.43841982,26.875,0.6,2
2447864.4404127146,28.285,1.625,2
2447904.4443985047,29.2,0.6,2
2447914.4453949523,29.48,0.6,1
2447924.4463914,28.14,0.6,1
2447974.4513736377,26.14,0.6,2
2448134.467316798,25.14,0.6,1
2448144.468313245,25.35,0.6,2
2448194.473295483,27.85,0.6,1
2448204.474291931,27.47,0.6,1
2448224.4762848257,28.97,0.6,1
2448274.481267063,28.51,0.6,1
2448284.482263511,27.76,0.6,1
2448314.4852528535,25.61,0.6,1
2448324.4862493007,26.715,0.6,2
2448334.4872457488,26.009999999999998,0.6,2
2448354.4892386436,26.08,0.6,1
2448364.490235091,24.24,0.6,1
2448374.4912315384,24.45,0.6,1
2448494.503188909,22.62,0.6,1
2448504.504185356,24.509999999999998,1.049999999999999,2
2448534.5071746986,25.73,0.6,1
2448554.509167594,26.53,0.6,1
2448564.510164042,25.19,0.6,1
2448574.511160489,27.52,0.6,1
2448584.5121569363,27.705,0.6,2
2448594.5131533844,27.92,0.6,1
2448634.517139174,27.125,0.6,2
2448644.518135622,26.494999999999997,0.6,2
2448654.5191320693,24.77,0.6,1
2448694.52311786,24.276666666666667,0.6000000000000001,3
2448704.524114307,23.195,0.6,2
2448724.5261072023,23.02,0.6,2
2448744.528100097,23.92,0.6,2
2448844.538064572,22.05,0.6,1
2448854.53906102,23.73,0.6,1
2448864.5400574673,22.91,0.6,1
2448914.545039705,23.85,0.6,1
2448924.5460361526,23.18,0.6,1
2448954.5490254955,23.33,0.6,1
2449014.5550041804,24.86,0.6,1
2449024.5560006276,25.34,0.6,1
2449034.5569970757,25.01,0.6,1
2449064.559986418,25.203333333333333,0.6000000000000001,3
2449074.5609828653,24.7,0.6,1
2449084.5619793134,23.88,0.6,1
2449104.563972208,23.89,0.6,2
2449264.579915369,29.56,0.6,1
2449284.5819082633,29.45,0.6,1
2449294.5829047114,28.785,0.6,2
2449304.5839011585,27.21,0.6,1
2449324.585894054,28.31,0.6,1
2449334.586890501,27.81,0.6,1
2449344.587886949,28.07,0.6,1
2449354.5888833962,27.84,0.6,1
2449364.589879844,27.57,0.6,1
2449384.5918727387,27.990000000000002,0.6,2
2449414.5948620816,26.98,0.6,1
2449424.595858529,27.02,0.6,2
2449434.5968549764,26.61,0.6,1
